관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
50110-00051,용암해수제1공원,근린공원,,제주특별자치도 제주시 구좌읍 한동리 4849-20,33.5416340711,126.8118745659,14411,운동기구6+다목적운동장1,,파고라3+평의자20+등의자3,,,2009-12-09,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00052,함덕공원,근린공원,제주특별자치도 제주시 조천읍 일주동로 1189,제주특별자치도 제주시 조천읍 함덕리 919,33.5377042045,126.6676196399,17200,,,,도서관1,,2000-01-27,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00053,만세공원,근린공원,,제주특별자치도 제주시 조천읍 조천리 1134,33.5408076663,126.6418077673,58490,,,,항일기념관1+기념탑1,,1974-09-11,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00054,두모공원,근린공원,,제주특별자치도 제주시 한경면 두모리 2791,33.3519665651,126.1817601094,13400,,,,,,1983-12-27,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00026,첨단제3근린공원,근린공원,,제주특별자치도 제주시 영평동 2180,33.4516240187,126.5697128627,12153.2,운동기구7,,파고라1+등의자4+음수대1,,,2005-06-13,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00027,첨단제4근린공원,근린공원,제주특별자치도 제주시 첨단로8길 17,제주특별자치도 제주시 영평동 2188-1,33.4482554800,126.5697887000,32518,농구대4+다목적운동장1+배드민턴장1,,파고라3+평의자7+돌의자3+음수대1+무대1,,,2005-06-13,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00028,첨단제5근린공원,근린공원,,제주특별자치도 제주시 아라1동 3009,33.4464039433,126.5687215106,24125.9,족구장1+풋살장1,,파고라3+음수대2+화장실1+평상3+돌의자14,,,2005-06-13,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00029,삼화제1근린공원,근린공원,,제주특별자치도 제주시 삼양2동 2261,33.5187175345,126.5799067358,14431.1,운동기구5,,파고라3+평의자12+자전거거치대1+돌의자1,,,2006-05-31,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00030,삼화제2근린공원,근린공원,,제주특별자치도 제주시 삼양2동 2315,33.5184459674,126.5833409370,14636.2,운동기구3,,파고라2+평의자25+등의자6+돌분수대1+돌의자8,,,2006-05-31,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00031,삼화제3근린공원,근린공원,,제주특별자치도 제주시 삼양2동 2329,33.5176293335,126.5856265413,10795.3,운동기구7,,파고라3+평의자8+돌테이블세트3+자전거거치대1,,,2006-05-31,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00032,삼화제4근린공원,근린공원,,제주특별자치도 제주시 도련1동 1981,33.5132327710,126.5780153241,20020.8,운동기구5+농구대2+족구장2,,파고라5+평의자15+등의자18+자전거거치대1,,,2006-05-31,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00033,삼화제5근린공원,근린공원,,제주특별자치도 제주시 도련1동 1895-1,33.5158353238,126.5826344672,27062.7,운동기구4,조합놀이대1+그네1,파고라5+평의자24+등의자12+돌의자10,,,2006-05-31,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00034,삼화제6근린공원,근린공원,,제주특별자치도 제주시 도련1동 1912,33.5133018614,126.5833619006,11722.9,운동기구9,,파고라2+평의자13+화장실1+자전거거치대1+돌의자8,,관리사무소1,2006-05-31,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00035,삼화제7근린공원,근린공원,,제주특별자치도 제주시 화북2동 118,33.5131759566,126.5771030062,23617.1,운동기구20+농구대2+다목적운동장1+족구장3,,파고라3+평의자23+등의자17+음수대1,,,2006-05-31,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00036,아라제1근린공원,근린공원,,제주특별자치도 제주시 아라1동 6055,33.4734235871,126.5410240134,10310.9,운동기구5,조합놀이대1+그네1+흔들놀이2+시소1,파고라2+평의자6+등의자6+음수대1+지압판1,,,2008-06-18,제주특별자치도 제주시청 공원녹지과,064-728-3542,2025-04-14
50110-00037,아라제2근린공원,근린공원,제주특별자치도 제주시 인다13길 47,제주특별자치도 제주시 아라1동 6125,33.4730020000,126.5502653000,11293.4,운동기구15,조합놀이대1+그네1+흔들놀이3+시소1+오르는기구2,파고라3+평의자6+등의자18+음수대1+돌테이블세트2+화장실1+지압판1+돌의자12,,,2008-06-18,제주특별자치도 제주시청 공원녹지과,064-728-3542,2025-04-14
50110-00038,도두봉공원,근린공원,,제주특별자치도 제주시 도두일동 산1,33.5085477331,126.4689243092,85430,운동기구16,,파고라1+평의자45+등의자11+흔들의자2+화장실1+나무테이블2,,,2017-04-10,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00039,명월공원,근린공원,,제주특별자치도 제주시 한림읍 명월리 2200,33.4016291601,126.2612237410,265990,,,,,,1965-06-22,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00013,이도공원,근린공원,제주특별자치도 제주시 이도공원동길 6,제주특별자치도 제주시 이도2동 440,33.4978154400,126.5444891000,18006.7,운동기구36+농구대1+배드민턴1,조합놀이대1+그네1+흔들놀이2+시소1,파고라2+평의자4+등의자32+음수대2+돌테이블세트5+화장실1+지압판1+지압안내판1+시계탑1,,관리사무소1,1990-08-06,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00014,노형공원,근린공원,제주특별자치도 제주시 과원북4길 12,제주특별자치도 제주시 노형동 731,33.4808937000,126.4828696000,22375.3,운동기구29+게이트볼장1+농구대2+배드민턴장2+족구장1,,파고라4+평의자5+등의자35+음수대1+돌테이블세트2+화장실1+나무테이블2+지압판1+지압안내판1+평상1+시계탑1,,관리사무소1,1996-12-31,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00015,서부공원,근린공원,,제주특별자치도 제주시 용담2동 1835,33.4973416827,126.4921380616,178540,,,,,,2001-08-11,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00016,오등봉공원,근린공원,,제주특별자치도 제주시 오등동 1596,33.4721929323,126.5192162956,764863,,,,,,2001-08-11,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00017,중부공원,근린공원,,제주특별자치도 제주시 건입동 167,33.5081730982,126.5494005035,214200,,,,,,2001-08-11,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00018,화북공원,근린공원,,제주특별자치도 제주시 화북2동 3387,33.5068230996,126.5627771692,10000,,,,,,2001-08-11,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00019,동부공원,근린공원,,제주특별자치도 제주시 화북2동 679,33.5086932050,126.5709270150,142500,,,,,,2001-08-11,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00020,노형제1근린공원,근린공원,제주특별자치도 제주시 정존5길 67,제주특별자치도 제주시 노형동 2584-1,33.4865534445,126.4692420611,27578.4,운동기구32+게이트볼장1+농구대2+배드민턴장1,조합놀이대2+그네1+시소1,파고라12+평의자18+등의자41+음수대3+돌테이블세트4+화장실1+자전거거치대2+지압판2+돌의자19,,관리사무소1,2001-11-29,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00021,노형제2근린공원,근린공원,제주특별자치도 제주시 정존11길 76,제주특별자치도 제주시 노형동 2582-1,33.4892530200,126.4716538000,10819.4,운동기구31,,파고라2+평의자19+등의자5+평상4+돌의자10+무대1,,,2001-11-29,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00022,시민복지타운근린공원,근린공원,제주특별자치도 제주시 복지로9길 25,제주특별자치도 제주시 도남동 749,33.4893660010,126.5272130888,16493.1,운동기구26,,파고라5+평의자15+등의자4+음수대1+화장실1+지압판1+시계탑1,,,2002-10-01,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00023,한마음공원,근린공원,,제주특별자치도 제주시 이도2동 1942-1,33.4951653929,126.5440277555,47989.4,운동기구57+게이트볼장1+배드민턴장3,조합놀이대1+그네1+흔들놀이5+시소2,파고라8+평의자47+등의자10+음수대2+화장실1+자전거거치대1+지압판1+시계탑1,,,2003-04-16,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00024,첨단제1근린공원,근린공원,,제주특별자치도 제주시 월평동 718-3,33.4568590844,126.5728939910,10152.9,운동기구6,,지압판2,,,2005-06-13,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00025,첨단제2근린공원,근린공원,,제주특별자치도 제주시 월평동 746-2,33.4526141281,126.5742611902,13841.5,농구대1+테니스장1,,파고라1+평의자3+등의자6+음수대1+지압판1+돌의자15+무대1,,,2005-06-13,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00001,신산공원,근린공원,제주특별자치도 제주시 동광로 69,제주특별자치도 제주시 일도2동 852,33.5044439700,126.5351724000,245550,게이트볼장2+배드민턴1+족구장1+운동기구84,그네1+미끄럼틀2+흔들놀이2+회전놀이1+시소3+공중놀이2+오르는기구2,파고라7+평의자82+등의자24+음수대3+돌테이블세트6+화장실3+지압판2+지압안내판1+국기게양대3+평상4+돌의자5+시계탑1+무대1,기념탑1+문화예술회관1+박물관1,관리사무소1,1952-03-25,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00002,용담공원,근린공원,,제주특별자치도 제주시 용담1동 373,33.5140559363,126.5153753532,146680,운동기구26,,파고라1+평의자45+등의자8+음수대3+화장실2+돌테이블세트4+팔각정1+ 자전거거치대3+지압판2+지압안내판1+국기게양대1,,관리사무소1,1952-03-25,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00003,사라봉공원,근린공원,제주특별자치도 제주시 사라봉동길 74,제주특별자치도 제주시 건입동 387-1,33.5186634130,126.5476898472,1006520,배드민턴장1+운동기구108,,파고라4+평의자62+등의자26+음수대4+돌테이블세트5+화장실3+팔각정1+자전거거치대3+지압판2+지압안내판1+돌의자41+시계탑1,,관리사무소1,1962-09-19,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00004,남조봉공원,근린공원,,제주특별자치도 제주시 연동 1010,33.4687283099,126.4915674668,1675230,운동기구49,,파고라1+평의자26+등의자3+음수대1+화장실1+지압판1+지압안내판1,,,1974-05-10,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00005,방일리공원,근린공원,,제주특별자치도 제주시 노형동 3812-2,33.4777974275,126.4767007292,39604.2,농구대2+배드민턴장1+운동기구5,조합놀이대1+ 흔들놀이5,파고라2+평의자2+등의자19+자전거거치대1,,,1974-05-10,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00006,삼다공원,근린공원,,제주특별자치도 제주시 연동 302-2,33.4889996693,126.4970477596,16300,운동기구72,,파고라2+등의자41+음수대2+돌테이블세트6+자전거거치대4+지압판3+돌분수대1+돌의자15,공연장1,,1978-08-01,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00007,삼무공원,근린공원,제주특별자치도 제주시 신대로10길 48-9,제주특별자치도 제주시 연동 270-5,33.4917799781,126.4919597251,22800,운동기구46+농구대1+배드민턴4,,평의자24+등의자12+음수대1+돌테이블세트4+화장실1+나무테이블1+팔각정1+자전거거치대1+지압판1+지압안내판1+국기게양대1+평상3+돌의자4+시계탑2,,관리사무소1,1978-08-01,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00008,연동공원,근린공원,,제주특별자치도 제주시 연동 1373-5,33.4821398295,126.4901667991,20207.6,운동기구28,,파고라7+평의자28+등의자16+돌테이블세트1+화장실1+자전거거치대1+지압판1,,,1986-05-22,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00009,탑동제1공원,근린공원,제주특별자치도 제주시 탑동해안로 46,제주특별자치도 제주시 삼도2동 1256,33.5187945900,126.5202035000,4270,운동기구15,,파고라1+평의자6+등의자6+음수대1+돌테이블세트3+화장실1+지압판3+지압안내판1,,,1987-12-30,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00010,탑동제2공원,근린공원,제주특별자치도 제주시 중앙로 2,제주특별자치도 제주시 삼도2동 1262,33.5181475700,126.5239547000,10200,,,화장실1,,,1987-12-30,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00011,도남공원,근린공원,,제주특별자치도 제주시 도남동 80-1,33.4922820269,126.5319289452,10279,운동기구15,조합놀이대1+그네1+흔들놀이1+시소1,파고라2+평의자8+등의자6+음수대1+돌테이블세트2+자전거거치대1+지압판1+지압안내판,,,1989-08-11,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00012,수운공원,근린공원,제주특별자치도 제주시 청귤로5길 6-9,제주특별자치도 제주시 이도2동 371,33.4997528923,126.5396874056,14471.3,운동기구26+농구대1,,파고라3+평의자41+등의자51+음수대3+돌테이블세트2+화장실1+자전거거치대+지압판1+지압안내판1+시계탑1,공연장1,,1990-08-06,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00055,고산공원,근린공원,제주특별자치도 제주시 한경면 고조로 24-7,제주특별자치도 제주시 한경면 고산리 2067-1,33.3040841800,126.1851605000,9800,,,,,,1983-12-27,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00056,1-1호공원,어린이공원,,제주특별자치도 제주시 삼도1동 785-1,33.5061386499,126.5190061030,1664,운동기구15+농구대1,조합놀이대1+그네1+시소2,파고라1+평의자6+등의자6+나무테이블1,,,1976-03-27,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00057,1-2호공원,어린이공원,,제주특별자치도 제주시 삼도1동 505,33.5015453904,126.5158580465,1655.7,운동기구13+농구대1,조합놀이대1+그네3+시소2+공중놀이1,등의자13+음수대1+지압판2+지압안내판1,,,1976-03-27,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00058,1-3호공원,어린이공원,,제주특별자치도 제주시 삼도1동 547-11,33.5021292793,126.5217592903,1639,운동기구18+농구대1,조합놀이대1+그네1+시소2,파고라1+등의자9+지압판1,,,1976-03-27,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00059,1-4호공원,어린이공원,,제주특별자치도 제주시 도남동 914-13,33.4995844540,126.5256390431,1599.4,운동기구11+게이트볼장1,조합놀이대1+그네1,파고라1+평의자5+등의자2+음수대1,,,1976-03-27,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00060,1-5호공원,어린이공원,,제주특별자치도 제주시 연동 311-33,33.4915450914,126.4989091860,1323.1,운동기구5+농구대1,조합놀이대1+시소1,파고라1+등의자11+음수대1,,,1977-03-09,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00061,1-6호공원,어린이공원,제주특별자치도 제주시 신대로16길 22,제주특별자치도 제주시 연동 293-6,33.4868770900,126.4943098000,1323.9,운동기구5,조합놀이대1+그네1,등의자8+평상1+돌의자3,,,1977-03-09,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00062,1-7호공원,어린이공원,제주특별자치도 제주시 연동14길 32,제주특별자치도 제주시 연동 297-1,33.4829099800,126.4945726000,4321.5,운동기구10,조합놀이대1+그네1+스피드레이서1,평의자2+등의자9+음수대1+돌테이블세트1+지압판1+돌의자8,,,1977-03-09,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00063,1-8호공원,어린이공원,,제주특별자치도 제주시 연동 252-23,33.4873747069,126.4862677415,1341.4,운동기구15,조합놀이대1,파고라2+평의자8+지압판1,,,1977-03-09,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00064,1-9호공원,어린이공원,,제주특별자치도 제주시 연동 266-2,33.4830999506,126.4888292147,2055.2,운동기구5,조합놀이대1+그네1,평의자1+등의자4+음수대1,,,1980-03-28,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00065,1-10호공원,어린이공원,,제주특별자치도 제주시 노형동 910-7,33.4868585910,126.4839969420,1404.5,운동기구11,조합놀이대2+흔들놀이2+시소1,파고라1+등의자4+지압판1+평상1,,,1980-03-28,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00066,1-11호공원,어린이공원,제주특별자치도 제주시 원노형2길 33-6,제주특별자치도 제주시 노형동 921,33.4830199800,126.4822344000,3955.4,운동기구14+농구대1+배드민턴장1,조합놀이대1+그네1+흔들놀이3,파고라1+평의자15+돌테이블세트1+지압판1+돌의자8,,,1980-03-28,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00067,1-12호공원,어린이공원,,제주특별자치도 제주시 건입동 671,33.5167742269,126.5400215386,1651.9,운동기구11+농구대1,조합놀이대1+그네1+흔들놀이2+시소1,파고라1+평의자3+등의자5+음수대1+지압판1+지압안내판1,,,1980-07-18,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00068,1-13호공원,어린이공원,,제주특별자치도 제주시 일도2동 154,33.5112638081,126.5418367202,1278.5,운동기구12,조합놀이대1+그네1+흔들놀이3+시소1,파고라1+등의자7+음수대1+지압판2,,,1980-07-18,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00069,1-14호공원,어린이공원,,제주특별자치도 제주시 일도2동 318,33.5099489916,126.5372762748,1658,운동기구12+농구대1,조합놀이대1+그네1,파고라1+등의자5+음수대1+지압판1+돌의자7,,,1980-07-18,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00070,1-15호공원,어린이공원,,제주특별자치도 제주시 일도2동 355-8,33.5087558981,126.5405443652,3228.9,운동기구18,조합놀이대1+그네1+시소1,평의자1+등의자8+음수대1+돌테이블세트1+팔각정1+지압판1+국기게양대1+돌의자5,,,1980-07-18,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00071,1-16호공원,어린이공원,,제주특별자치도 제주시 일도2동 337,33.5069357206,126.5363095247,1652.6,운동기구15,조합놀이대1+그네1+시소2,파고라1+등의자13+음수대1+지압판1+돌의자20,,,1980-07-18,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00072,1-17호공원,어린이공원,,제주특별자치도 제주시 일도2동 397,33.5081692686,126.5436986063,2051.7,운동기구15+배드민턴장1,조합놀이대1+그네2+흔들놀이2+시소2,파고라2+등의자13+음수대1+지압판1,,,1980-07-18,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00073,1-18호공원,어린이공원,,제주특별자치도 제주시 일도2동 405-3,33.5063933127,126.5433026567,2643.7,운동기구10,조합놀이대1+그네1,파고라1+등의자7+음수대1+지압판1+지압안내판1+평상1,,,1980-07-18,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00074,1-19호공원,어린이공원,,제주특별자치도 제주시 일도2동 414,33.5038207703,126.5415789673,4095.2,운동기구4,조합놀이대1+흔들놀이2,평의자11+등의자1+음수대1+팔각정1+국기게양대1+돌의자4,,,1980-07-18,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00075,1-20호공원,어린이공원,,제주특별자치도 제주시 이도2동 320-6,33.5033754354,126.5379094022,986.9,운동기구11,조합놀이대1+그네1+흔들놀이2+시소1,파고라1+평의자8,,,1980-07-18,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00076,1-21호공원,어린이공원,,제주특별자치도 제주시 삼양2동 2154-1,33.5200332042,126.5800892607,1620.3,운동기구6+농구대1,조합놀이대1+그네1+흔들놀이2+시소1,파고라2+평의자4,,,1988-02-29,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00077,1-22호공원,어린이공원,,제주특별자치도 제주시 삼양1동 1593-1,33.5291203560,126.5937818893,2770,운동기구5+농구대2,조합놀이대1+그네1,파고라3+평의자7+돌테이블세트1,,,1995-04-21,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00078,1-23호공원,어린이공원,,제주특별자치도 제주시 삼양1동 1647-12,33.5260390195,126.5904855422,2003.3,운동기구5+게이트볼장1,조합놀이대1+그네1,파고라3+평의자9+등의자5+돌의자2,,,1995-04-21,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00079,삼양공원,역사공원,제주특별자치도 제주시 선사로2길 13,제주특별자치도 제주시 삼양1동 1660-5,33.5235045800,126.5879995000,2674.5,,,,,,1995-04-21,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00080,1-25호공원,어린이공원,,제주특별자치도 제주시 삼양2동 2104-4,33.5243675959,126.5851217199,2434.2,운동기구6,,파고라1+평의자3+등의자11+지압판2+지압안내판2,,,1995-04-21,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00081,1-26호공원,어린이공원,,제주특별자치도 제주시 삼양2동 2113-1,33.5245032414,126.5856715736,1271,,조합놀이대1+그네1,파고라2+평의자6+등의자2+음수대1,,,1995-04-21,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00082,1-27호공원,어린이공원,,제주특별자치도 제주시 삼양2동 2130-1,33.5221283251,126.5831779008,2380.7,운동기구9+게이트볼장1,조합놀이대1+그네1+흔들놀이2+시소1,파고라2+평의자9+음수대1,,,1995-04-21,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00083,1-28호공원,어린이공원,,제주특별자치도 제주시 삼양2동 2179-10,33.5202183968,126.5839259276,2230.1,운동기구5+농구대1,조합놀이대1+그네1+스피드레이서2,파고라4+평의자12+등의자4+음수대1+지압판1,,,1993-11-16,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00084,1-29호공원,어린이공원,,제주특별자치도 제주시 삼양2동 2100-2,33.5242285242,126.5817728882,3476.3,운동기구8,조합놀이대1+그네1,파고라2+평의자6+등의자4+음수대1+지압판1,,,1995-04-21,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00085,1-30호공원,어린이공원,,제주특별자치도 제주시 이도2동 1044-5,33.4983498091,126.5355522985,1811.7,운동기구6+배드민턴장1,조합놀이대1+그네1,등의자3+지압판1,,,1989-08-11,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00086,1-31호공원,어린이공원,,제주특별자치도 제주시 이도2동 1073,33.4956165097,126.5377941224,2287.6,운동기구5+농구대1+다목적운동장1,조합놀이대1+그네1+흔들놀이2+시소2,파고라1+평의자2+등의자5+음수대1,,,1989-08-19,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00087,1-32호공원,어린이공원,,제주특별자치도 제주시 이도2동 1053,33.4968762387,126.5343021725,2331.8,운동기구6+다목적운동장1,조합놀이대1+흔들놀이2+시소1,파고라1+등의자7+지압판1+평상1,,,1989-08-19,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00088,1-33호공원,어린이공원,,제주특별자치도 제주시 이도2동 1077-5,33.4941117160,126.5369094012,2540.6,운동기구6+농구대2,조합놀이대1+그네1+흔들놀이3+시소1,파고라1+등의자7+음수대1+자전거거치대1+지압판1,,,1989-08-19,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00089,1-34호공원,어린이공원,,제주특별자치도 제주시 이도2동 1014-6,33.4946627192,126.5306135276,2973.5,운동기구12,조합놀이대1+그네1,파고라1+평의자3+등의자2+돌테이블세트1+평상2,,,1989-08-19,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00090,1-35호공원,어린이공원,,제주특별자치도 제주시 도남동 88-11,33.4946350140,126.5292156681,1500,운동기구10,조합놀이대1+그네1+흔들놀이2+시소1,파고라1+평의자6+등의자3+지압판1,,,1989-08-19,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00091,1-36호공원,어린이공원,,제주특별자치도 제주시 도남동 55-4,33.4935630764,126.5272264196,1826.8,운동기구10+농구대1+배드민턴장1,조합놀이대1+그네1+흔들놀이2+시소1,등의자6,,,1989-08-19,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00092,1-37호공원,어린이공원,,제주특별자치도 제주시 도남동 46,33.4960460422,126.5225319605,5426.7,운동기구20+농구대2+배드민턴장1,조합놀이대1+그네1+흔들놀이3+시소1+오르는기구1,파고라3+평의자3+등의자11+음수대1+지압판1+시계탑1,,,1989-08-19,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
